timestamp,gpu_index,utilization_gpu,utilization_mem,memory_used_mb,power_w,temperature_c
2025/12/14 02:18:50.748, 0, 85, 53, 20355, 174.63, 61
2025/12/14 02:18:55.760, 0, 0, 0, 20355, 108.54, 57
2025/12/14 02:19:00.761, 0, 66, 35, 20355, 175.84, 61
2025/12/14 02:19:05.763, 0, 0, 0, 20355, 93.57, 56
2025/12/14 02:19:10.764, 0, 66, 34, 20355, 179.52, 60
2025/12/14 02:19:15.765, 0, 25, 13, 20355, 208.10, 61
2025/12/14 02:19:20.767, 0, 63, 45, 20355, 225.50, 62
2025/12/14 02:19:25.768, 0, 90, 67, 20355, 212.52, 61
2025/12/14 02:19:30.769, 0, 83, 56, 20355, 192.16, 63
2025/12/14 02:19:35.770, 0, 91, 67, 20357, 200.56, 63
2025/12/14 02:19:40.771, 0, 85, 50, 20355, 217.67, 61
2025/12/14 02:19:45.772, 0, 40, 17, 20355, 204.09, 62
2025/12/14 02:19:50.773, 0, 86, 58, 20355, 208.47, 64
2025/12/14 02:19:55.774, 0, 72, 38, 20355, 203.41, 64
2025/12/14 02:20:00.775, 0, 82, 49, 20355, 201.40, 64
2025/12/14 02:20:05.777, 0, 16, 12, 20355, 112.89, 60
2025/12/14 02:20:10.778, 0, 60, 42, 20355, 167.98, 59
2025/12/14 02:20:15.779, 0, 84, 51, 20355, 186.94, 62
2025/12/14 02:20:20.780, 0, 52, 34, 20355, 173.80, 63
2025/12/14 02:20:25.781, 0, 68, 34, 20355, 183.02, 62
2025/12/14 02:20:30.783, 0, 53, 26, 20355, 176.20, 64
2025/12/14 02:20:35.784, 0, 91, 68, 20355, 184.63, 59
2025/12/14 02:20:40.785, 0, 61, 33, 20355, 175.49, 62
2025/12/14 02:20:45.786, 0, 83, 57, 20355, 223.20, 63
2025/12/14 02:20:50.788, 0, 65, 33, 20355, 200.70, 63
2025/12/14 02:20:55.789, 0, 71, 43, 20355, 179.41, 62
2025/12/14 02:21:00.790, 0, 90, 65, 20355, 203.13, 63
2025/12/14 02:21:05.791, 0, 59, 40, 20355, 186.02, 63
2025/12/14 02:21:10.792, 0, 67, 34, 20355, 153.73, 63
2025/12/14 02:21:15.794, 0, 63, 43, 20355, 185.36, 60
2025/12/14 02:21:20.795, 0, 84, 58, 20355, 176.79, 63
2025/12/14 02:21:25.796, 0, 82, 60, 20355, 174.91, 64
2025/12/14 02:21:30.797, 0, 62, 37, 20355, 175.20, 65
2025/12/14 02:21:35.798, 0, 72, 46, 20355, 205.22, 65
2025/12/14 02:21:40.799, 0, 66, 46, 20355, 138.33, 61
2025/12/14 02:21:45.801, 0, 71, 47, 20355, 201.20, 60
2025/12/14 02:21:50.802, 0, 92, 68, 20355, 213.87, 64
2025/12/14 02:21:55.803, 0, 64, 42, 20355, 179.72, 63
2025/12/14 02:22:00.804, 0, 72, 44, 20355, 175.47, 63
2025/12/14 02:22:05.806, 0, 78, 44, 20355, 206.86, 62
2025/12/14 02:22:10.807, 0, 55, 38, 20355, 193.34, 62
2025/12/14 02:22:15.809, 0, 59, 34, 20355, 177.80, 63
2025/12/14 02:22:20.814, 0, 90, 55, 20355, 185.61, 63
2025/12/14 02:22:25.823, 0, 86, 63, 20355, 207.87, 63
2025/12/14 02:22:30.824, 0, 93, 69, 20355, 200.86, 64
2025/12/14 02:22:35.831, 0, 84, 59, 20355, 190.65, 63
2025/12/14 02:22:40.832, 0, 91, 69, 20355, 169.37, 63
2025/12/14 02:22:45.833, 0, 73, 51, 20355, 187.53, 65
2025/12/14 02:22:50.834, 0, 67, 39, 20355, 193.99, 64
2025/12/14 02:22:55.835, 0, 11, 8, 20355, 177.48, 62
2025/12/14 02:23:00.836, 0, 71, 42, 20355, 196.96, 64
2025/12/14 02:23:05.837, 0, 88, 52, 20355, 193.12, 65
2025/12/14 02:23:10.840, 0, 65, 39, 20355, 132.44, 64
2025/12/14 02:23:15.841, 0, 0, 0, 20355, 180.09, 59
2025/12/14 02:23:20.842, 0, 81, 59, 20355, 203.66, 64
2025/12/14 02:23:25.844, 0, 82, 57, 20355, 203.66, 64
2025/12/14 02:23:30.845, 0, 86, 63, 20355, 204.01, 65
2025/12/14 02:23:35.846, 0, 56, 30, 20355, 192.84, 64
2025/12/14 02:23:40.848, 0, 86, 53, 20355, 198.29, 62
2025/12/14 02:23:45.849, 0, 60, 36, 20355, 181.78, 63
2025/12/14 02:23:50.851, 0, 0, 0, 20355, 100.84, 58
2025/12/14 02:23:55.852, 0, 70, 37, 20355, 189.51, 62
2025/12/14 02:24:00.853, 0, 85, 54, 20355, 193.02, 62
2025/12/14 02:24:05.854, 0, 0, 0, 20355, 105.88, 58
2025/12/14 02:24:10.855, 0, 76, 43, 20355, 212.47, 62
2025/12/14 02:24:15.856, 0, 85, 64, 20355, 137.82, 62
2025/12/14 02:24:20.857, 0, 54, 31, 20355, 192.06, 62
2025/12/14 02:24:25.858, 0, 69, 35, 20355, 205.01, 64
2025/12/14 02:24:30.859, 0, 51, 29, 20355, 159.70, 64
2025/12/14 02:24:35.861, 0, 59, 32, 20355, 132.10, 63
2025/12/14 02:24:40.863, 0, 82, 59, 20355, 165.05, 59
2025/12/14 02:24:45.864, 0, 86, 60, 20355, 206.72, 61
2025/12/14 02:24:50.865, 0, 66, 48, 20355, 204.03, 64
2025/12/14 02:24:55.866, 0, 80, 49, 20355, 191.07, 64
2025/12/14 02:25:00.868, 0, 74, 40, 20355, 195.13, 62
2025/12/14 02:25:05.869, 0, 87, 52, 20355, 179.85, 63
2025/12/14 02:25:10.870, 0, 57, 33, 20355, 216.40, 64
2025/12/14 02:25:15.872, 0, 85, 53, 20355, 212.45, 62
2025/12/14 02:25:20.873, 0, 88, 66, 20355, 175.25, 65
2025/12/14 02:25:25.874, 0, 58, 40, 20355, 216.94, 65
2025/12/14 02:25:30.875, 0, 61, 41, 20355, 193.72, 65
2025/12/14 02:25:35.876, 0, 81, 47, 20355, 210.24, 63
2025/12/14 02:25:40.878, 0, 83, 58, 20355, 210.27, 64
2025/12/14 02:25:45.881, 0, 77, 55, 20355, 194.19, 64
2025/12/14 02:25:50.890, 0, 41, 24, 20355, 182.53, 65
2025/12/14 02:25:55.893, 0, 85, 52, 20355, 190.39, 63
2025/12/14 02:26:00.895, 0, 92, 67, 20355, 191.93, 66
2025/12/14 02:26:05.896, 0, 87, 65, 20355, 211.93, 66
2025/12/14 02:26:10.897, 0, 83, 49, 20355, 196.26, 64
2025/12/14 02:26:15.898, 0, 74, 40, 20355, 196.76, 65
2025/12/14 02:26:20.899, 0, 67, 39, 20355, 175.34, 65
2025/12/14 02:26:25.901, 0, 85, 53, 20355, 187.78, 63
2025/12/14 02:26:30.902, 0, 89, 67, 20355, 156.10, 65
2025/12/14 02:26:35.903, 0, 92, 69, 20355, 211.93, 64
2025/12/14 02:26:40.904, 0, 89, 66, 20355, 177.84, 65
2025/12/14 02:26:45.905, 0, 82, 48, 20355, 173.84, 64
2025/12/14 02:26:50.906, 0, 91, 67, 20355, 188.61, 66
2025/12/14 02:26:55.907, 0, 87, 52, 20355, 171.43, 64
2025/12/14 02:27:00.908, 0, 84, 49, 20355, 216.17, 64
2025/12/14 02:27:05.909, 0, 89, 64, 20355, 186.78, 66
2025/12/14 02:27:10.911, 0, 45, 26, 20355, 208.94, 66
2025/12/14 02:27:15.912, 0, 83, 54, 20355, 205.40, 65
2025/12/14 02:27:20.913, 0, 83, 51, 20355, 184.73, 64
2025/12/14 02:27:25.915, 0, 66, 46, 20355, 205.99, 66
2025/12/14 02:27:30.916, 0, 87, 54, 20355, 202.59, 65
2025/12/14 02:27:35.917, 0, 85, 58, 20355, 194.84, 64
2025/12/14 02:27:40.918, 0, 42, 23, 20355, 175.11, 64
2025/12/14 02:27:45.919, 0, 83, 49, 20355, 212.37, 65
2025/12/14 02:27:50.920, 0, 86, 64, 20355, 173.19, 66
2025/12/14 02:27:55.922, 0, 69, 34, 20355, 186.75, 66
2025/12/14 02:28:00.923, 0, 83, 51, 20355, 181.23, 64
2025/12/14 02:28:05.925, 0, 91, 67, 20355, 213.84, 66
2025/12/14 02:28:10.926, 0, 59, 34, 20355, 200.60, 65
2025/12/14 02:28:15.927, 0, 67, 38, 20355, 190.88, 67
2025/12/14 02:28:20.928, 0, 89, 55, 20355, 188.41, 66
2025/12/14 02:28:25.929, 0, 87, 63, 20355, 185.88, 65
2025/12/14 02:28:30.930, 0, 91, 66, 20355, 220.51, 66
2025/12/14 02:28:35.931, 0, 67, 48, 20355, 227.59, 67
2025/12/14 02:28:40.932, 0, 57, 32, 20355, 213.19, 66
2025/12/14 02:28:45.933, 0, 77, 42, 20355, 211.19, 67
2025/12/14 02:28:50.935, 0, 89, 54, 20355, 173.66, 66
2025/12/14 02:28:55.936, 0, 86, 60, 20355, 208.72, 65
2025/12/14 02:29:00.937, 0, 51, 28, 20355, 186.88, 64
2025/12/14 02:29:05.938, 0, 90, 56, 20355, 206.39, 67
2025/12/14 02:29:10.940, 0, 79, 46, 20355, 195.26, 66
2025/12/14 02:29:15.947, 0, 55, 31, 20355, 215.09, 64
2025/12/14 02:29:20.950, 0, 0, 0, 20355, 176.47, 61
2025/12/14 02:29:25.951, 0, 92, 70, 20357, 200.06, 65
2025/12/14 02:29:30.952, 0, 51, 28, 20355, 202.75, 64
2025/12/14 02:29:35.954, 0, 85, 50, 20355, 177.05, 64
2025/12/14 02:29:40.955, 0, 87, 59, 20355, 187.91, 67
2025/12/14 02:29:45.957, 0, 91, 68, 20355, 205.98, 66
2025/12/14 02:29:50.958, 0, 75, 47, 20355, 187.69, 65
2025/12/14 02:29:55.959, 0, 0, 0, 20355, 110.55, 60
2025/12/14 02:30:00.960, 0, 66, 33, 20355, 204.79, 66
2025/12/14 02:30:05.962, 0, 83, 48, 20355, 193.37, 64
2025/12/14 02:30:10.963, 0, 84, 59, 20355, 185.96, 67
2025/12/14 02:30:15.964, 0, 69, 48, 20355, 178.60, 67
2025/12/14 02:30:20.965, 0, 78, 47, 20355, 205.46, 65
2025/12/14 02:30:25.966, 0, 84, 59, 20355, 193.18, 65
2025/12/14 02:30:30.968, 0, 90, 67, 20355, 183.02, 66
2025/12/14 02:30:35.969, 0, 82, 49, 20355, 190.46, 67
2025/12/14 02:30:40.978, 0, 86, 63, 20355, 192.59, 65
2025/12/14 02:30:45.979, 0, 83, 48, 20355, 180.91, 66
2025/12/14 02:30:50.980, 0, 77, 56, 20355, 183.68, 66
2025/12/14 02:30:55.981, 0, 90, 67, 20355, 193.55, 64
2025/12/14 02:31:00.983, 0, 83, 49, 20355, 179.44, 63
2025/12/14 02:31:05.984, 0, 83, 51, 20355, 189.33, 64
2025/12/14 02:31:10.985, 0, 84, 61, 20355, 174.69, 66
2025/12/14 02:31:15.986, 0, 73, 51, 20355, 188.05, 65
2025/12/14 02:31:20.988, 0, 68, 35, 20355, 197.59, 66
2025/12/14 02:31:25.989, 0, 56, 38, 20355, 174.34, 62
2025/12/14 02:31:30.990, 0, 91, 68, 20355, 202.81, 67
2025/12/14 02:31:35.992, 0, 86, 60, 20355, 195.35, 65
2025/12/14 02:31:40.993, 0, 80, 48, 20355, 216.60, 63
2025/12/14 02:31:45.994, 0, 80, 47, 20355, 204.76, 64
2025/12/14 02:31:50.996, 0, 84, 59, 20355, 207.14, 65
2025/12/14 02:31:55.997, 0, 87, 51, 20355, 155.42, 63
2025/12/14 02:32:01.004, 0, 85, 60, 20355, 185.57, 65
2025/12/14 02:32:06.013, 0, 58, 31, 20355, 205.73, 66
2025/12/14 02:32:11.015, 0, 80, 47, 20355, 179.09, 65
2025/12/14 02:32:16.021, 0, 86, 59, 20355, 193.43, 64
2025/12/14 02:32:21.027, 0, 88, 63, 20355, 218.24, 66
2025/12/14 02:32:26.029, 0, 39, 21, 20355, 201.37, 66
2025/12/14 02:32:31.031, 0, 83, 51, 20355, 207.20, 65
2025/12/14 02:32:36.032, 0, 85, 61, 20355, 176.91, 65
2025/12/14 02:32:41.033, 0, 74, 52, 20355, 186.51, 66
2025/12/14 02:32:46.034, 0, 84, 50, 20355, 213.16, 64
2025/12/14 02:32:51.035, 0, 93, 69, 20355, 223.82, 65
2025/12/14 02:32:56.036, 0, 50, 31, 20355, 192.86, 64
2025/12/14 02:33:01.038, 0, 54, 30, 20355, 173.41, 64
2025/12/14 02:33:06.039, 0, 62, 33, 20355, 176.15, 63
2025/12/14 02:33:11.040, 0, 85, 53, 20355, 174.99, 66
2025/12/14 02:33:16.041, 0, 79, 57, 20355, 201.87, 66
2025/12/14 02:33:21.042, 0, 61, 31, 20355, 203.57, 65
2025/12/14 02:33:26.044, 0, 81, 57, 20355, 205.76, 64
2025/12/14 02:33:31.046, 0, 88, 63, 20355, 193.40, 66
2025/12/14 02:33:36.047, 0, 75, 42, 20355, 203.63, 67
2025/12/14 02:33:41.049, 0, 80, 47, 20355, 191.46, 67
2025/12/14 02:33:46.050, 0, 92, 70, 20355, 193.64, 65
2025/12/14 02:33:51.058, 0, 86, 64, 20355, 171.63, 67
2025/12/14 02:33:56.060, 0, 58, 35, 20355, 191.49, 66
2025/12/14 02:34:01.061, 0, 82, 47, 20355, 209.67, 66
2025/12/14 02:34:06.062, 0, 89, 66, 20355, 210.17, 66
2025/12/14 02:34:11.064, 0, 64, 38, 20355, 204.19, 67
2025/12/14 02:34:16.065, 0, 66, 33, 20355, 203.95, 66
2025/12/14 02:34:21.066, 0, 89, 53, 20355, 183.65, 67
2025/12/14 02:34:26.067, 0, 82, 56, 20355, 208.86, 65
2025/12/14 02:34:31.068, 0, 65, 45, 20355, 220.72, 68
2025/12/14 02:34:36.070, 0, 62, 33, 20355, 168.74, 67
2025/12/14 02:34:41.071, 0, 79, 46, 20355, 206.95, 67
2025/12/14 02:34:46.072, 0, 70, 40, 20357, 186.15, 67
2025/12/14 02:34:51.073, 0, 92, 69, 20355, 202.68, 65
2025/12/14 02:34:56.074, 0, 57, 39, 20355, 201.69, 67
2025/12/14 02:35:01.075, 0, 64, 36, 20355, 201.73, 67
2025/12/14 02:35:06.077, 0, 88, 53, 20355, 205.81, 66
2025/12/14 02:35:11.078, 0, 91, 68, 20355, 228.51, 67
2025/12/14 02:35:16.079, 0, 88, 53, 20355, 188.65, 66
2025/12/14 02:35:21.080, 0, 84, 57, 20355, 208.09, 67
2025/12/14 02:35:26.081, 0, 91, 67, 20355, 209.78, 67
2025/12/14 02:35:31.082, 0, 54, 36, 20355, 187.67, 67
2025/12/14 02:35:36.083, 0, 69, 37, 20355, 176.20, 66
2025/12/14 02:35:41.085, 0, 89, 52, 20355, 202.31, 66
2025/12/14 02:35:46.086, 0, 85, 59, 20355, 218.60, 67
2025/12/14 02:35:51.087, 0, 59, 35, 20355, 175.25, 67
2025/12/14 02:35:56.088, 0, 90, 54, 20355, 192.05, 65
2025/12/14 02:36:01.089, 0, 87, 61, 20355, 220.20, 67
2025/12/14 02:36:06.090, 0, 63, 43, 20355, 186.15, 67
2025/12/14 02:36:11.091, 0, 68, 35, 20355, 201.41, 66
